,precision,recall,f1-score,support
A+,0.0,0.0,0.0,84.0
A-,0.16521739130434782,0.12582781456953643,0.14285714285714285,151.0
AB+,0.14285714285714285,0.009433962264150943,0.017699115044247787,106.0
AB-,0.1474820143884892,0.7192982456140351,0.24477611940298508,114.0
B+,0.08333333333333333,0.010309278350515464,0.01834862385321101,97.0
B-,0.056179775280898875,0.04504504504504504,0.05,111.0
O+,0.12727272727272726,0.11023622047244094,0.11814345991561181,127.0
O-,1.0,0.009433962264150943,0.018691588785046728,106.0
accuracy,0.13727678571428573,0.13727678571428573,0.13727678571428573,0.13727678571428573
macro avg,0.21529279805461743,0.12869806607248435,0.07631450623228066,896.0
weighted avg,0.21583321163309252,0.13727678571428573,0.0844501749021409,896.0
