,precision,recall,f1-score,support
A+,0.0,0.0,0.0,84.0
A-,0.13924050632911392,0.0728476821192053,0.09565217391304348,151.0
AB+,0.0,0.0,0.0,106.0
AB-,0.1371571072319202,0.4824561403508772,0.21359223300970873,114.0
B+,0.25,0.010309278350515464,0.019801980198019802,97.0
B-,0.0975609756097561,0.036036036036036036,0.05263157894736842,111.0
O+,0.1643059490084986,0.4566929133858268,0.24166666666666667,127.0
O-,0.0,0.0,0.0,106.0
accuracy,0.14397321428571427,0.14397321428571427,0.14397321428571427,0.14397321428571427
macro avg,0.0985330672724111,0.1322927562803076,0.07791807909185089,896.0
weighted avg,0.10335641796528725,0.14397321428571427,0.0862137911082688,896.0
