,precision,recall,f1-score,support
A+,0.0,0.0,0.0,565.0
A-,0.31724137931034485,0.1823587710604559,0.2315921963499056,1009.0
AB+,0.75,0.00847457627118644,0.01675977653631285,708.0
AB-,0.15605095541401273,0.5151116951379764,0.2395355942560342,761.0
B+,0.7586206896551724,0.03374233128834356,0.06461086637298091,652.0
B-,0.5884615384615385,0.20647773279352227,0.30569430569430567,741.0
O+,0.21139854486661278,0.613849765258216,0.31449188214070956,852.0
O-,0.44274809160305345,0.08146067415730338,0.1376037959667853,712.0
accuracy,0.223,0.223,0.223,0.223
macro avg,0.4030651499138418,0.20518444324587548,0.16378605216462927,6000.0
weighted avg,0.3993117033161837,0.223,0.17706596447341766,6000.0
