,precision,recall,f1-score,support
A+,0.43859649122807015,0.04424778761061947,0.08038585209003216,565.0
A-,0.29411764705882354,0.2527254707631318,0.27185501066098083,1009.0
AB+,0.76,0.026836158192090395,0.05184174624829468,708.0
AB-,0.19398084815321479,0.9316688567674113,0.3211050724637681,761.0
B+,0.6923076923076923,0.08282208588957055,0.14794520547945206,652.0
B-,0.49114331723027377,0.4116059379217274,0.447870778267254,741.0
O+,0.24430955993930198,0.18896713615023475,0.2131039046988749,852.0
O-,0.6578947368421053,0.0351123595505618,0.06666666666666667,712.0
accuracy,0.25883333333333336,0.25883333333333336,0.25883333333333336,0.25883333333333336
macro avg,0.47154378659493523,0.24674822410566843,0.20009677957191543,6000.0
weighted avg,0.45369429333715366,0.25883333333333336,0.2096913904692107,6000.0
