,precision,recall,f1-score,support
A+,0.08045977011494253,0.08333333333333333,0.08187134502923976,84.0
A-,0.15384615384615385,0.17218543046357615,0.1625,151.0
AB+,0.14,0.1320754716981132,0.13592233009708737,106.0
AB-,0.15625,0.13157894736842105,0.14285714285714285,114.0
B+,0.11235955056179775,0.10309278350515463,0.10752688172043011,97.0
B-,0.128,0.14414414414414414,0.13559322033898305,111.0
O+,0.10638297872340426,0.11811023622047244,0.11194029850746269,127.0
O-,0.07865168539325842,0.0660377358490566,0.07179487179487179,106.0
accuracy,0.12276785714285714,0.12276785714285714,0.12276785714285714,0.12276785714285714
macro avg,0.1194937673299446,0.11881976032278393,0.11875076129315221,896.0
weighted avg,0.1223175036545497,0.12276785714285714,0.12211585219160123,896.0
