,precision,recall,f1-score,support
A+,0.9008130081300812,0.9805309734513274,0.9389830508474576,565.0
A-,0.8753437213565536,0.9464816650148662,0.9095238095238095,1009.0
AB+,0.9811023622047244,0.8799435028248588,0.9277736411020104,708.0
AB-,0.9646539027982327,0.8607095926412615,0.9097222222222222,761.0
B+,0.975609756097561,0.8588957055214724,0.9135399673735726,652.0
B-,0.8423475258918297,0.9878542510121457,0.9093167701863354,741.0
O+,0.8644957983193278,0.965962441314554,0.9124168514412417,852.0
O-,0.9846153846153847,0.8089887640449438,0.8882035466461063,712.0
accuracy,0.913,0.913,0.913,0.913
macro avg,0.923622682426712,0.9111708619781786,0.9136849824178446,6000.0
weighted avg,0.9197961514313893,0.913,0.9127681941042135,6000.0
