,precision,recall,f1-score,support
A+,0.07142857142857142,0.08333333333333333,0.07692307692307693,84.0
A-,0.2185430463576159,0.2185430463576159,0.2185430463576159,151.0
AB+,0.12244897959183673,0.11320754716981132,0.11764705882352941,106.0
AB-,0.09821428571428571,0.09649122807017543,0.09734513274336283,114.0
B+,0.12048192771084337,0.10309278350515463,0.1111111111111111,97.0
B-,0.09734513274336283,0.0990990990990991,0.09821428571428571,111.0
O+,0.11428571428571428,0.12598425196850394,0.1198501872659176,127.0
O-,0.09900990099009901,0.09433962264150944,0.0966183574879227,106.0
accuracy,0.12276785714285714,0.12276785714285714,0.12276785714285714,0.12276785714285714
macro avg,0.11771969485279116,0.11676136401815039,0.11703153205335277,896.0
weighted avg,0.1235238977119024,0.12276785714285714,0.12295932477469952,896.0
