,precision,recall,f1-score,support
A+,0.7785515320334262,0.9893805309734514,0.8713951675759938,565.0
A-,0.8529121421520237,0.8562933597621407,0.8545994065281899,1009.0
AB+,0.9251170046801872,0.8375706214689266,0.8791697553743514,708.0
AB-,0.8733431516936672,0.7792378449408672,0.8236111111111111,761.0
B+,0.9585687382297552,0.7806748466257669,0.8605240912933221,652.0
B-,0.8602673147023087,0.9554655870445344,0.9053708439897699,741.0
O+,0.8179871520342612,0.8967136150234741,0.8555431131019037,852.0
O-,0.8789712556732224,0.8160112359550562,0.8463219227967953,712.0
accuracy,0.8618333333333333,0.8618333333333333,0.8618333333333333,0.8618333333333333
macro avg,0.8682147863998564,0.8639184552242771,0.8620669264714297,6000.0
weighted avg,0.8675440716459113,0.8618333333333333,0.8612157929236304,6000.0
