,precision,recall,f1-score,support
A+,0.07766990291262135,0.09523809523809523,0.0855614973262032,84.0
A-,0.15568862275449102,0.17218543046357615,0.16352201257861634,151.0
AB+,0.14035087719298245,0.1509433962264151,0.14545454545454545,106.0
AB-,0.14736842105263157,0.12280701754385964,0.1339712918660287,114.0
B+,0.10606060606060606,0.07216494845360824,0.08588957055214724,97.0
B-,0.10606060606060606,0.12612612612612611,0.11522633744855967,111.0
O+,0.1079136690647482,0.11811023622047244,0.11278195488721804,127.0
O-,0.1375,0.10377358490566038,0.11827956989247312,106.0
accuracy,0.12388392857142858,0.12388392857142858,0.12388392857142858,0.12388392857142858
macro avg,0.12232658813733584,0.12016860439722667,0.12008584750072397,896.0
weighted avg,0.1250570188558857,0.12388392857142858,0.12338421121128178,896.0
