,precision,recall,f1-score,support
A+,0.06329113924050633,0.11904761904761904,0.08264462809917356,84.0
A-,0.1504424778761062,0.11258278145695365,0.12878787878787878,151.0
AB+,0.10526315789473684,0.05660377358490566,0.0736196319018405,106.0
AB-,0.10273972602739725,0.13157894736842105,0.11538461538461539,114.0
B+,0.1,0.061855670103092786,0.07643312101910828,97.0
B-,0.10236220472440945,0.11711711711711711,0.1092436974789916,111.0
O+,0.136986301369863,0.15748031496062992,0.14652014652014653,127.0
O-,0.0898876404494382,0.07547169811320754,0.08205128205128205,106.0
accuracy,0.10602678571428571,0.10602678571428571,0.10602678571428571,0.10602678571428571
macro avg,0.10637158094780716,0.10396724021899334,0.10183562515537958,896.0
weighted avg,0.11036947348826168,0.10602678571428571,0.10512522684961786,896.0
