,precision,recall,f1-score,support
A+,0.3982532751091703,0.8070796460176991,0.5333333333333333,565.0
A-,0.5115020297699594,0.37462834489593655,0.43249427917620137,1009.0
AB+,0.626984126984127,0.3347457627118644,0.43646408839779005,708.0
AB-,0.5704545454545454,0.6596583442838371,0.6118220597196831,761.0
B+,0.6547314578005116,0.39263803680981596,0.49089165867689355,652.0
B-,0.6183035714285714,0.747638326585695,0.6768478924862553,741.0
O+,0.4,0.4812206572769953,0.4368673415023974,852.0
O-,0.5457875457875457,0.41853932584269665,0.4737678855325914,712.0
accuracy,0.5151666666666667,0.5151666666666667,0.5151666666666667,0.5151666666666667
macro avg,0.5407520690418037,0.5270185555530675,0.5115610673531432,6000.0
weighted avg,0.5389313181642464,0.5151666666666667,0.5072454303838887,6000.0
