,precision,recall,f1-score,support
A+,0.6820143884892086,0.8389380530973451,0.7523809523809524,565.0
A-,0.6069868995633187,0.688800792864222,0.6453110492107706,1009.0
AB+,0.7094972067039106,0.7175141242937854,0.7134831460674157,708.0
AB-,0.7524590163934426,0.6031537450722734,0.6695842450765864,761.0
B+,0.7878103837471784,0.5352760736196319,0.6374429223744292,652.0
B-,0.7217194570135747,0.8609986504723347,0.7852307692307692,741.0
O+,0.6308654848800834,0.710093896713615,0.6681391496410822,852.0
O-,0.7481751824817519,0.5758426966292135,0.6507936507936508,712.0
accuracy,0.6896666666666667,0.6896666666666667,0.6896666666666667,0.6896666666666667
macro avg,0.7049410024090587,0.6913272540953027,0.690295735596957,6000.0
weighted avg,0.6985629759787712,0.6896666666666667,0.6868336974858879,6000.0
