,precision,recall,f1-score,support
A+,0.125,0.11904761904761904,0.12195121951219512,84.0
A-,0.1744186046511628,0.1986754966887417,0.18575851393188855,151.0
AB+,0.13043478260869565,0.11320754716981132,0.12121212121212122,106.0
AB-,0.10784313725490197,0.09649122807017543,0.10185185185185185,114.0
B+,0.08247422680412371,0.08247422680412371,0.08247422680412371,97.0
B-,0.1111111111111111,0.12612612612612611,0.11814345991561181,111.0
O+,0.1506849315068493,0.1732283464566929,0.16117216117216118,127.0
O-,0.08641975308641975,0.0660377358490566,0.0748663101604278,106.0
accuracy,0.12723214285714285,0.12723214285714285,0.12723214285714285,0.12723214285714285
macro avg,0.12104831837790803,0.12191104077654336,0.12092873307004766,896.0
weighted avg,0.12454043233010026,0.12723214285714285,0.12530318236477483,896.0
