,precision,recall,f1-score,support
A+,0.08783783783783784,0.15476190476190477,0.11206896551724138,84.0
A-,0.18604651162790697,0.2119205298013245,0.19814241486068113,151.0
AB+,0.10204081632653061,0.04716981132075472,0.06451612903225806,106.0
AB-,0.15789473684210525,0.02631578947368421,0.045112781954887216,114.0
B+,0.06578947368421052,0.05154639175257732,0.057803468208092484,97.0
B-,0.1793103448275862,0.23423423423423423,0.203125,111.0
O+,0.12890625,0.25984251968503935,0.17232375979112272,127.0
O-,0.16129032258064516,0.04716981132075472,0.072992700729927,106.0
accuracy,0.13616071428571427,0.13616071428571427,0.13616071428571427,0.13616071428571427
macro avg,0.13363953671585282,0.12912012404378423,0.11576065251177625,896.0
weighted avg,0.13843819568257082,0.13616071428571427,0.12175337026196142,896.0
