,precision,recall,f1-score,support
A+,0.5054080629301868,0.9097345132743363,0.649810366624526,565.0
A-,0.4393414211438475,0.5024777006937562,0.46879334257975036,1009.0
AB+,0.8604651162790697,0.365819209039548,0.5133795837462835,708.0
AB-,0.8421052631578947,0.16819973718791065,0.28039430449069,761.0
B+,0.7213114754098361,0.4723926380368098,0.5708989805375347,652.0
B-,0.5615079365079365,0.7638326585695007,0.6472269868496283,741.0
O+,0.3386363636363636,0.6995305164319249,0.4563552833078101,852.0
O-,0.6408839779005525,0.16292134831460675,0.2597984322508399,712.0
accuracy,0.499,0.499,0.499,0.499
macro avg,0.6137074521207109,0.5056135401935491,0.48083216004838286,6000.0
weighted avg,0.6016837490135677,0.499,0.4737701114204181,6000.0
