,precision,recall,f1-score,support
A+,0.9539823008849557,0.9539823008849557,0.9539823008849557,565.0
A-,0.8429973238180196,0.9365708622398414,0.8873239436619719,1009.0
AB+,0.9884678747940692,0.847457627118644,0.9125475285171103,708.0
AB-,0.9711399711399712,0.8843626806833115,0.9257221458046767,761.0
B+,0.9314194577352473,0.8957055214723927,0.9132134480062549,652.0
B-,0.841324200913242,0.9946018893387314,0.9115646258503401,741.0
O+,0.8236493374108053,0.9483568075117371,0.8816148390616476,852.0
O-,0.9943396226415094,0.7401685393258427,0.8486312399355878,712.0
accuracy,0.9021666666666667,0.9021666666666667,0.9021666666666667,0.9021666666666667
macro avg,0.9184150111672275,0.900150778571932,0.9043250089653181,6000.0
weighted avg,0.9114804732064925,0.9021666666666667,0.9018523173120409,6000.0
